arrival_key,date_key,transport_key,geography_key,origin_geography_key,destination_geography_key,market_origin_key,flight_number,vessel_name,passenger_count,arrival_datetime,arrival_date,arrival_time,arrival_hour,arrival_day_part,departure_datetime,departure_date,departure_time,departure_hour,departure_day_part,days_stay,flow_type,passenger_type,is_repeat_visit,origin_airport_code,origin_city,origin_country_code,destination_airport_code,destination_city,destination_country_code,is_direct_flight,number_of_connections,total_journey_hours,is_peak_season,is_weekend,is_holiday,data_quality_flag,granularity_level,source_confidence,dq_score,data_completeness_pct,imputation_method,observation_count,suppressed,computation_method,source_system,source_file,load_timestamp,created_timestamp
597202,20250925,,,,123746,101,,,3,,2025-09-24,,,,,2025-09-25,,,,1,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.632842,
597203,20250925,,,,232808,179,,,7,,2025-09-18,,,,,2025-09-25,,,,7,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.63396,
597204,20250925,,,,,183,,,4,,2025-09-23,,,,,2025-09-25,,,,2,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.634964,
597205,20250925,,,,,236,,,12,,2025-09-21,,,,,2025-09-25,,,,4,departure,,false,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.635874,
597206,20250925,,,,,179,,,10,,2025-09-19,,,,,2025-09-25,,,,6,departure,,false,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.636834,
597207,20250925,,,,,110,,,3,,2025-09-18,,,,,2025-09-25,,,,7,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.637753,
597208,20250925,,,,,111,,,10,,2025-09-17,,,,,2025-09-25,,,,8,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.63866,
597209,20250925,,,,,216,,,3,,2025-09-18,,,,,2025-09-25,,,,7,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.639641,
597210,20250925,,,,232828,41,,,3,,2025-09-22,,,,,2025-09-25,,,,3,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.64056,
597211,20250925,,,,232828,14,,,3,,2025-09-20,,,,,2025-09-25,,,,5,departure,,false,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.641485,
597212,20250925,,,,,235,,,7,,2025-09-18,,,,,2025-09-25,,,,7,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.654315,
597213,20250925,,,,,32,,,7,,2025-09-23,,,,,2025-09-25,,,,2,departure,,false,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.655426,
597214,20250925,,,,,41,,,6,,2025-09-23,,,,,2025-09-25,,,,2,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.656365,
597215,20250925,,,,,14,,,3,,2025-09-21,,,,,2025-09-25,,,,4,departure,,false,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.657293,
597216,20250925,,,,,41,,,3,,2025-09-21,,,,,2025-09-25,,,,4,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.658271,
597217,20250925,,,,232826,77,,,3,,2025-09-23,,,,,2025-09-25,,,,2,departure,,false,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.659196,
597218,20250925,,,,232826,210,,,13,,2025-09-20,,,,,2025-09-25,,,,5,departure,,false,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.66011,
597219,20250925,,,,232826,184,,,3,,2025-09-18,,,,,2025-09-25,,,,7,departure,,true,,,,,,,,,,,,,,,,,,,,,,VODAFONE_TELCO,,2026-02-05T14:44:22.661042,
