time,weather_temperature_2m,weather_precipitation_mm,weather_wind_speed_10m,weather_relative_humidity_2m,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,movement_date
2025-09-16 05:00:00,18.3,0.0,5.2,92,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-16
2025-09-16 06:00:00,18.1,0.0,5.2,92,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-16
2025-09-16 07:00:00,18.0,0.0,5.3,92,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-16
2025-09-16 08:00:00,18.8,0.0,5.7,91,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-16
2025-09-16 09:00:00,21.2,0.0,10.5,80,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-16
2025-09-16 10:00:00,22.2,0.0,13.0,74,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-16
2025-09-16 11:00:00,23.0,0.0,14.2,69,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-16
2025-09-16 12:00:00,23.6,0.0,14.6,66,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-16
2025-09-16 13:00:00,24.4,0.0,18.5,64,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-16
2025-09-16 14:00:00,24.6,0.0,18.9,60,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-16
2025-09-16 15:00:00,24.5,0.0,18.6,61,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-16
2025-09-16 16:00:00,24.5,0.0,16.6,61,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-16
2025-09-16 17:00:00,24.1,0.0,15.9,62,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-16
2025-09-16 18:00:00,23.7,0.0,15.0,63,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-16
2025-09-16 19:00:00,22.9,0.0,15.2,67,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-16
2025-09-16 20:00:00,22.0,0.0,13.6,73,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-16
2025-09-16 21:00:00,22.0,0.0,13.4,74,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-16
2025-09-16 22:00:00,21.7,0.0,13.7,76,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-16
2025-09-16 23:00:00,21.6,0.0,15.3,77,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-16
2025-09-17 00:00:00,21.3,0.0,14.2,80,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-17
2025-09-17 01:00:00,21.2,0.0,12.3,82,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-17
2025-09-17 02:00:00,21.0,0.0,12.9,83,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-17
2025-09-17 03:00:00,21.0,0.0,11.8,84,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-17
2025-09-17 04:00:00,20.8,0.0,13.3,84,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-17
2025-09-17 05:00:00,20.8,0.0,15.4,83,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-17
2025-09-17 06:00:00,20.8,0.0,15.7,83,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-17
2025-09-17 07:00:00,20.7,0.0,16.6,83,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-17
2025-09-17 08:00:00,21.0,0.0,18.1,82,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-17
2025-09-17 09:00:00,22.1,0.0,22.7,76,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-17
2025-09-17 10:00:00,22.8,0.4,25.5,73,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-17
2025-09-17 11:00:00,23.1,0.6,25.1,72,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-17
2025-09-17 12:00:00,23.6,0.7,23.6,70,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-17
2025-09-17 13:00:00,24.0,0.3,24.8,70,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-17
2025-09-17 14:00:00,23.8,0.7,24.3,72,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-17
2025-09-17 15:00:00,23.7,0.8,22.1,72,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-17
2025-09-17 16:00:00,23.6,0.5,24.7,72,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-17
2025-09-17 17:00:00,23.4,0.3,21.8,71,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-17
2025-09-17 18:00:00,22.8,0.3,24.3,74,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-17
2025-09-17 19:00:00,22.2,0.2,24.0,77,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-17
2025-09-17 20:00:00,21.6,0.0,17.6,81,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-17
2025-09-17 21:00:00,21.6,0.0,14.8,82,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-17
2025-09-17 22:00:00,21.7,0.0,15.9,81,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-17
2025-09-17 23:00:00,21.8,0.0,14.4,80,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-17
2025-09-18 00:00:00,21.9,0.0,17.6,79,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-18
2025-09-18 01:00:00,22.1,0.0,19.8,80,37.785587,-25.662628,111.0,0,GMT,GMT,2025-09-18
