time_bucket,movement_date,granularity_level,geography_key,total_incoming,record_count
2025-04-18T09:00:00,2025-04-18,,232824,2054.0,26
2025-10-03T09:00:00,2025-10-03,DAILY,3725,467.56080999999983,2064
2025-10-06T12:00:00,2025-10-06,HOURLY,3761,303.16603999999995,3698
2025-10-04T21:00:00,2025-10-04,HOURLY,3671,2760.5232700000165,3076
2025-07-14T19:00:00,2025-07-14,,232823,1023.0,31
2025-09-26T09:00:00,2025-09-26,HOURLY,3641,2358.2465800000014,3861
2025-10-09T10:00:00,2025-10-09,HOURLY,3636,6418.97304000001,12632
2025-10-04T11:00:00,2025-10-04,HOURLY,3755,285.13142999999974,502
2025-10-03T16:00:00,2025-10-03,HOURLY,3725,503.7320399999992,1588
2025-09-26T11:00:00,2025-09-26,HOURLY,3624,122.05309000000055,2451
2025-09-24T09:00:00,2025-09-24,DAILY,3700,1590.750799999996,2797
2025-09-27T19:00:00,2025-09-27,HOURLY,3672,2622.3136900000436,4904
2025-10-08T20:00:00,2025-10-08,DAILY,3757,104.13651000000002,1479
2025-09-27,2025-09-27,HOURLY,3633,488.41256000000016,1818
2025-10-05T14:00:00,2025-10-05,HOURLY,3682,655.7877599999986,3901
2025-10-08T09:00:00,2025-10-08,HOURLY,3675,3992.367780000027,5116
2025-10-02T12:00:00,2025-10-02,DAILY,3649,819.4578299999979,4977
2025-09-26T09:00:00,2025-09-26,DAILY,3630,435.83900999999963,2469
2025-09-28T06:00:00,2025-09-28,HOURLY,3667,3869.358740000008,4602
2025-10-03T11:00:00,2025-10-03,HOURLY,3633,904.3366799999973,6031
2025-09-06T10:00:00,2025-09-06,,232823,558.0,31
2025-09-28,2025-09-28,DAILY,3746,1967.9764099999975,1176
2025-10-07T15:00:00,2025-10-07,HOURLY,3629,384.6672199999986,2406
2025-09-30T05:00:00,2025-09-30,HOURLY,3622,462.84738000000016,1838
2025-06-01T12:00:00,2025-06-01,,232824,2387.0,31
2025-10-09T09:00:00,2025-10-09,HOURLY,3754,504.4714600000004,790
2025-10-01T09:00:00,2025-10-01,HOURLY,3683,262.39378000000056,2084
2025-10-09T12:00:00,2025-10-09,DAILY,3645,1496.285759999992,12459
2025-10-03T09:00:00,2025-10-03,HOURLY,3688,366.6762200000003,1877
2025-10-07T07:00:00,2025-10-07,HOURLY,3721,1527.8462799999984,1738
2025-10-06T21:00:00,2025-10-06,HOURLY,3730,193.94122000000002,240
2025-10-09T01:00:00,2025-10-09,HOURLY,3669,1168.6539600000024,2688
2025-10-06T03:00:00,2025-10-06,HOURLY,3760,857.5491199999987,2446
2025-10-05T09:00:00,2025-10-05,DAILY,3635,1694.2268500000011,9968
2025-09-24,2025-09-24,DAILY,3737,1203.9010100000032,3804
2025-10-07,2025-10-07,HOURLY,3687,3589.3862800000384,7436
2025-10-03T21:00:00,2025-10-03,HOURLY,3700,1703.3696999999993,1519
2025-09-26,2025-09-26,HOURLY,3632,7243.508799999977,3602
2025-10-04T08:00:00,2025-10-04,HOURLY,3743,2570.211850000016,2017
2025-09-27T14:00:00,2025-09-27,HOURLY,3655,345.42356000000046,3957
2025-10-06T02:00:00,2025-10-06,HOURLY,3678,3649.846280000042,5990
2025-09-30T15:00:00,2025-09-30,HOURLY,3711,965.6983799999997,1191
2025-10-03T01:00:00,2025-10-03,HOURLY,3739,44.933149999999976,270
2025-10-06T09:00:00,2025-10-06,DAILY,3651,14114.65126999995,9717
2025-07-17T12:00:00,2025-07-17,,232823,4743.0,62
2025-10-05T09:00:00,2025-10-05,HOURLY,3658,1952.968359999991,6675
2025-09-30T20:00:00,2025-09-30,HOURLY,3685,2541.327650000004,2644
2025-09-30T12:00:00,2025-09-30,DAILY,3750,1383.039690000001,2500
2025-10-06,2025-10-06,DAILY,3720,1486.9846699999969,5347
2025-10-09T14:00:00,2025-10-09,HOURLY,3753,277.67835999999977,812
2025-10-01T12:00:00,2025-10-01,,232804,360.0,30
2025-10-01T03:00:00,2025-10-01,HOURLY,3618,4710.005849999999,1755
2025-09-27T11:00:00,2025-09-27,HOURLY,3642,890.0736699999983,2120
2025-09-28T20:00:00,2025-09-28,HOURLY,3644,4691.400370000002,3938
2025-10-04T19:00:00,2025-10-04,HOURLY,3624,142.88127000000017,2067
2025-10-06T02:00:00,2025-10-06,HOURLY,3693,5763.961399999999,5388
2025-10-01T03:00:00,2025-10-01,HOURLY,3699,2136.1986700000043,1170
2025-09-29T14:00:00,2025-09-29,HOURLY,3673,1239.018109999997,4375
2025-07-24T07:00:00,2025-07-24,,232823,2418.0,31
2025-09-25T20:00:00,2025-09-25,DAILY,3745,868.4807000000004,568
2025-09-30T20:00:00,2025-09-30,DAILY,3671,2966.544930000023,3017
2025-10-08T07:00:00,2025-10-08,HOURLY,3741,2881.7794600000148,3166
2025-09-30T10:00:00,2025-09-30,HOURLY,3738,461.7774400000001,1143
2025-09-24T20:00:00,2025-09-24,DAILY,3665,536.8852000000004,5044
2025-09-24T12:00:00,2025-09-24,DAILY,3628,360.9162899999998,3373
2025-10-08T19:00:00,2025-10-08,HOURLY,3617,1615.060459999995,3078
2025-09-27,2025-09-27,DAILY,3646,2181.7768200000287,14340
2025-10-27T17:00:00,2025-10-27,,232809,750.0,30
2025-10-01T11:00:00,2025-10-01,HOURLY,3767,508.75022000000007,205
2025-10-03T06:00:00,2025-10-03,HOURLY,3624,3.9221500000000016,272
2025-10-08T16:00:00,2025-10-08,DAILY,3708,186.12124000000009,1260
2025-10-07T14:00:00,2025-10-07,HOURLY,3716,171.57562000000144,2098
2025-10-06T19:00:00,2025-10-06,HOURLY,3671,5865.72587999996,7074
2025-10-04T04:00:00,2025-10-04,HOURLY,3700,1626.3135899999977,1596
2025-10-07T09:00:00,2025-10-07,DAILY,3717,1464.2985900000012,1063
2025-10-03,2025-10-03,DAILY,3625,3565.1795200000256,13627
2025-10-06T01:00:00,2025-10-06,HOURLY,3705,4835.244299999995,3176
2025-10-08T10:00:00,2025-10-08,HOURLY,3627,724.7627399999938,13196
2025-02-16T17:00:00,2025-02-16,,232813,1168.0,16
2025-10-05T02:00:00,2025-10-05,HOURLY,3620,2410.2659100000055,3004
2025-09-30T20:00:00,2025-09-30,HOURLY,3708,175.93328000000022,829
2025-10-08T04:00:00,2025-10-08,HOURLY,3699,4479.974340000004,2480
2025-10-06T09:00:00,2025-10-06,DAILY,3759,27.78418,151
2025-10-03T19:00:00,2025-10-03,HOURLY,3701,954.6781400000007,3970
2025-10-09T12:00:00,2025-10-09,HOURLY,3750,2408.360420000008,3520
2025-10-08T08:00:00,2025-10-08,HOURLY,3767,859.0095200000002,212
2025-10-05T05:00:00,2025-10-05,HOURLY,3675,2139.765599999998,1522
2025-10-01T02:00:00,2025-10-01,HOURLY,3738,418.76578000000046,790
2025-10-01T14:00:00,2025-10-01,HOURLY,3712,646.1114199999986,1218
2025-06-06T21:00:00,2025-06-06,,232824,2139.0,31
